group_id,program,calendar_year,program_type,year_level,concentration_id,concentration_name,concentration_name_raw,aoc_category,is_recommended,label,credits,rule_type,rule_value,course_code
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOB309
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOB370
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOB373
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOS270
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOS309
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOS370
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOS373
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,ISCI422
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,APBI200
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,EOSC222
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,EOSC250
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,EOSC327
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,EOSC330
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,EOSC425
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOB206
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOB405
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOB406
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOB408
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOS206
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOS405
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOS406
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_002,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Land,False,"Land: APBI_V 200; EOSC_V 222, 250, 327, 330, 425; GEOS_V (or GEOB_V) 206, 405, 406, 408",,choose_n,1,GEOS408
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_003,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Air,False,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402; CHEM_V 302",,choose_n,1,ATSC301
ENSC_2024_2025_MAJOR_AOC_LAND_AIR_WATER_003,ENSC,2024-2025,Major,,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",Air,False,"Air: ATSC_V 301, 303; GEOS_V (or GEOB_V) 300, 304, 402; CHEM_V 302",,choose_n,1,ATSC303
